instant,dteday,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt
187,09-01-2011,0,1,1,False,0,1,0.1,186,0.0606,0.42,0.4627,0,12,12
188,09-01-2011,0,1,2,False,0,1,0.1,187,0.0606,0.46,0.4627,0,11,11
189,09-01-2011,0,1,3,False,0,1,0.1,188,0.0758,0.46,0.4179,0,4,4
190,09-01-2011,0,1,4,False,0,1,0.08,189,0.0909,0.53,0.194,0,1,1
191,09-01-2011,0,1,5,False,0,1,0.08,190,0.0909,0.53,0.194,0,1,1
192,09-01-2011,0,1,6,False,0,1,0.1,191,0.0909,0.49,0.2836,0,1,1
193,09-01-2011,0,1,7,False,0,1,0.08,192,0.0909,0.53,0.194,1,5,6
194,09-01-2011,0,1,8,False,0,1,0.1,193,0.0909,0.49,0.2836,0,10,10
195,09-01-2011,0,1,9,False,0,1,0.12,194,0.0758,0.46,0.5224,0,19,19
196,09-01-2011,0,1,10,False,0,1,0.14,195,0.1061,0.43,0.3881,0,49,49
197,09-01-2011,0,1,11,False,0,1,0.16,196,0.1212,0.4,0.5224,2,47,49
198,09-01-2011,0,1,12,False,0,1,0.18,197,0.1364,0.37,0.4478,4,79,83
199,09-01-2011,0,1,13,False,0,1,0.2,198,0.1667,0.34,0.4478,6,69,75
200,09-01-2011,0,1,14,False,0,1,0.22,199,0.1818,0.32,0.4627,8,64,72
201,09-01-2011,0,1,15,False,0,1,0.22,200,0.197,0.35,0.3582,5,77,82
202,09-01-2011,0,1,16,False,0,1,0.2,201,0.1667,0.34,0.4478,13,79,92
203,09-01-2011,0,1,17,False,0,1,0.18,202,0.1515,0.37,0.3881,3,59,62
204,09-01-2011,0,1,18,False,0,1,0.16,203,0.1364,0.4,0.3284,4,44,48
205,09-01-2011,0,1,19,False,0,1,0.16,204,0.1364,0.43,0.3284,1,40,41
206,09-01-2011,0,1,20,False,0,1,0.14,205,0.1212,0.46,0.2537,0,38,38
207,09-01-2011,0,1,21,False,0,1,0.14,206,0.1061,0.46,0.4179,1,19,20
208,09-01-2011,0,1,22,False,0,1,0.14,207,0.1212,0.46,0.2985,5,10,15
209,09-01-2011,0,1,23,False,0,1,0.12,208,0.1364,0.5,0.194,0,6,6
210,10-01-2011,0,1,0,False,1,1,0.12,209,0.1212,0.5,0.2836,2,3,5
211,10-01-2011,0,1,1,False,1,1,0.12,210,0.1212,0.5,0.2836,1,0,1
212,10-01-2011,0,1,2,False,1,1,0.12,211,0.1212,0.5,0.2239,0,3,3
213,10-01-2011,0,1,3,False,1,1,0.12,212,0.1212,0.5,0.2239,0,1,1
214,10-01-2011,0,1,4,False,1,1,0.1,213,0.1212,0.54,0.1343,1,2,3
215,10-01-2011,0,1,5,False,1,1,0.1,214,0.1061,0.54,0.2537,0,3,3
216,10-01-2011,0,1,6,False,1,1,0.12,215,0.1212,0.5,0.2836,0,31,31
217,10-01-2011,0,1,7,False,1,1,0.12,216,0.1212,0.5,0.2239,2,75,77
218,10-01-2011,0,1,8,False,1,2,0.12,217,0.1212,0.5,0.2836,4,184,188
219,10-01-2011,0,1,9,False,1,2,0.14,218,0.1212,0.5,0.2537,2,92,94
220,10-01-2011,0,1,10,False,1,2,0.14,219,0.1212,0.5,0.2985,0,31,31
221,10-01-2011,0,1,11,False,1,2,0.16,220,0.1364,0.47,0.2836,2,28,30
222,10-01-2011,0,1,12,False,1,2,0.2,221,0.1818,0.4,0.2836,5,47,52
223,10-01-2011,0,1,13,False,1,2,0.2,222,0.1818,0.4,0.2836,4,50,54
224,10-01-2011,0,1,14,False,1,2,0.2,223,0.197,0.4,0.2239,0,47,47
225,10-01-2011,0,1,15,False,1,2,0.2,224,0.197,0.4,0.2239,2,43,45
226,10-01-2011,0,1,16,False,1,1,0.2,225,0.2121,0.4,0.1343,4,70,74
227,10-01-2011,0,1,17,False,1,1,0.2,226,0.2273,0.4,0.1045,4,174,178
228,10-01-2011,0,1,18,False,1,1,0.2,227,0.197,0.4,0.2239,1,154,155
229,10-01-2011,0,1,19,False,1,1,0.16,228,0.1667,0.47,0.1642,3,92,95
230,10-01-2011,0,1,20,False,1,1,0.16,229,0.1667,0.5,0.1642,1,73,74
231,10-01-2011,0,1,21,False,1,1,0.14,230,0.1364,0.59,0.194,1,37,38
232,10-01-2011,0,1,22,False,1,1,0.14,231,0.1515,0.59,0.1642,2,22,24
233,10-01-2011,0,1,23,False,1,1,0.14,232,0.1515,0.59,0.1642,0,18,18
234,11-01-2011,0,1,0,False,2,1,0.14,233,0.1667,0.59,0.1045,2,10,12
235,11-01-2011,0,1,1,False,2,1,0.14,234,0.1515,0.59,0.1642,0,3,3
236,11-01-2011,0,1,2,False,2,2,0.16,235,0.1515,0.55,0.194,0,3,3
237,11-01-2011,0,1,5,False,2,2,0.16,236,0.1818,0.55,0.1343,0,6,6
238,11-01-2011,0,1,6,False,2,2,0.16,237,0.1818,0.55,0.1343,0,27,27
239,11-01-2011,0,1,7,False,2,2,0.16,238,0.2273,0.55,0.0,2,97,99
240,11-01-2011,0,1,8,False,2,2,0.18,239,0.2121,0.51,0.0896,3,214,217
241,11-01-2011,0,1,9,False,2,2,0.18,240,0.197,0.51,0.1642,3,127,130
242,11-01-2011,0,1,10,False,2,2,0.2,241,0.2121,0.51,0.1642,3,51,54
243,11-01-2011,0,1,11,False,2,2,0.2,242,0.2121,0.47,0.1343,4,31,35
244,11-01-2011,0,1,12,False,2,2,0.2,243,0.2273,0.51,0.1045,2,55,57
245,11-01-2011,0,1,13,False,2,2,0.2,244,0.2273,0.59,0.0896,6,46,52
246,11-01-2011,0,1,14,False,2,2,0.2,245,0.2273,0.59,0.0896,3,60,63
247,11-01-2011,0,1,15,False,2,2,0.16,246,0.197,0.8,0.0896,2,45,47
248,11-01-2011,0,1,16,False,2,2,0.16,247,0.1515,0.86,0.2239,4,72,76
249,11-01-2011,0,1,17,False,2,2,0.16,248,0.1515,0.86,0.2239,6,130,136
250,11-01-2011,0,1,18,False,2,3,0.16,249,0.1818,0.93,0.1045,1,94,95
251,11-01-2011,0,1,19,False,2,3,0.16,250,0.2273,0.93,0.0,0,51,51
252,11-01-2011,0,1,20,False,2,3,0.16,251,0.1515,0.93,0.194,0,32,32
253,11-01-2011,0,1,21,False,2,3,0.16,252,0.197,0.86,0.0896,0,20,20
254,11-01-2011,0,1,22,False,2,3,0.16,253,0.1818,0.93,0.1045,1,28,29
255,11-01-2011,0,1,23,False,2,3,0.16,254,0.197,0.93,0.0896,1,18,19
256,12-01-2011,0,1,0,False,3,2,0.16,255,0.197,0.86,0.0896,0,7,7
257,12-01-2011,0,1,1,False,3,2,0.16,256,0.1818,0.86,0.1045,0,6,6
258,12-01-2011,0,1,2,False,3,1,0.14,257,0.1515,0.86,0.1343,0,1,1
259,12-01-2011,0,1,5,False,3,1,0.14,258,0.1515,0.86,0.1642,0,5,5
260,12-01-2011,0,1,6,False,3,1,0.12,259,0.1515,0.93,0.1343,0,16,16
261,12-01-2011,0,1,7,False,3,1,0.14,260,0.1515,0.69,0.1343,0,54,54
262,12-01-2011,0,1,8,False,3,1,0.16,261,0.1667,0.59,0.1642,3,125,128
263,12-01-2011,0,1,9,False,3,1,0.16,262,0.1364,0.59,0.3284,3,78,81
264,12-01-2011,0,1,10,False,3,1,0.18,263,0.1818,0.55,0.2239,0,39,39
265,12-01-2011,0,1,11,False,3,1,0.2,264,0.1818,0.51,0.3881,3,32,35
266,12-01-2011,0,1,12,False,3,1,0.2,265,0.1515,0.47,0.5821,3,52,55
267,12-01-2011,0,1,13,False,3,1,0.22,266,0.197,0.44,0.3582,0,49,49
268,12-01-2011,0,1,14,False,3,1,0.2,267,0.1818,0.47,0.3284,0,44,44
269,12-01-2011,0,1,15,False,3,1,0.2,268,0.1667,0.47,0.4179,1,48,49
270,12-01-2011,0,1,16,False,3,1,0.22,269,0.197,0.44,0.3284,5,63,68
271,12-01-2011,0,1,17,False,3,1,0.2,270,0.1818,0.47,0.3582,0,139,139
272,12-01-2011,0,1,18,False,3,1,0.2,271,0.1515,0.47,0.5224,2,135,137
273,12-01-2011,0,1,19,False,3,1,0.18,272,0.1515,0.47,0.4179,1,82,83
274,12-01-2011,0,1,20,False,3,1,0.16,273,0.1364,0.5,0.3284,2,54,56
275,12-01-2011,0,1,21,False,3,1,0.16,274,0.1364,0.55,0.3284,0,57,57
276,12-01-2011,0,1,22,False,3,1,0.16,275,0.1212,0.55,0.4478,1,32,33
277,12-01-2011,0,1,23,False,3,1,0.14,276,0.1061,0.59,0.4179,1,19,20
278,13-01-2011,0,1,0,False,4,1,0.14,277,0.1212,0.59,0.2836,1,6,7
279,13-01-2011,0,1,1,False,4,1,0.14,278,0.1212,0.5,0.2836,0,2,2
280,13-01-2011,0,1,2,False,4,1,0.14,279,0.1212,0.5,0.3582,0,2,2
281,13-01-2011,0,1,3,False,4,1,0.14,280,0.1212,0.5,0.3284,0,3,3
282,13-01-2011,0,1,4,False,4,1,0.14,281,0.1212,0.5,0.2537,0,4,4
283,13-01-2011,0,1,5,False,4,1,0.14,282,0.1212,0.5,0.2985,0,3,3
284,13-01-2011,0,1,6,False,4,1,0.12,283,0.1515,0.54,0.1343,0,28,28
285,13-01-2011,0,1,7,False,4,1,0.12,284,0.1515,0.54,0.1343,0,72,72
286,13-01-2011,0,1,8,False,4,1,0.14,285,0.1364,0.5,0.194,5,197,202
287,13-01-2011,0,1,9,False,4,1,0.14,286,0.1212,0.5,0.3284,2,137,139
288,13-01-2011,0,1,10,False,4,2,0.16,287,0.1364,0.5,0.3582,2,36,38
289,13-01-2011,0,1,11,False,4,2,0.2,288,0.1667,0.44,0.4478,4,33,37
290,13-01-2011,0,1,12,False,4,1,0.2,289,0.1667,0.44,0.4179,3,49,52
291,13-01-2011,0,1,13,False,4,1,0.22,290,0.197,0.41,0.4478,2,81,83
292,13-01-2011,0,1,14,False,4,1,0.22,291,0.197,0.41,0.3881,3,39,42
293,13-01-2011,0,1,15,False,4,1,0.24,292,0.2121,0.38,0.2985,5,55,60
294,13-01-2011,0,1,16,False,4,1,0.24,293,0.2121,0.38,0.3582,2,76,78
295,13-01-2011,0,1,17,False,4,1,0.2,294,0.1818,0.4,0.2836,4,158,162
296,13-01-2011,0,1,18,False,4,1,0.2,295,0.1818,0.4,0.3284,3,141,144
297,13-01-2011,0,1,19,False,4,1,0.16,296,0.1515,0.47,0.2537,1,98,99
298,13-01-2011,0,1,20,False,4,1,0.16,297,0.1515,0.47,0.2239,0,64,64
