instant,dteday,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt,season
84,04-01-2011,0,1,15,False,2,1,0.28,83.0,0.2727,0.52,0.2537,17,48,65,
85,04-01-2011,0,1,16,False,2,1,0.3,84.0,0.2879,0.49,0.2537,15,68,83,
86,04-01-2011,0,1,17,False,2,1,0.28,85.0,0.2727,0.48,0.2239,10,202,212,
87,04-01-2011,0,1,18,False,2,1,0.26,86.0,0.2576,0.48,0.194,3,179,182,
88,04-01-2011,0,1,19,False,2,1,0.24,87.0,0.2576,0.48,0.1045,2,110,112,
89,04-01-2011,0,1,20,False,2,1,0.24,88.0,0.2576,0.48,0.1045,1,53,54,
90,04-01-2011,0,1,21,False,2,1,0.22,89.0,0.2727,0.64,0.0,0,48,48,
91,04-01-2011,0,1,22,False,2,1,0.22,90.0,0.2576,0.64,0.0896,1,34,35,
92,04-01-2011,0,1,23,False,2,1,0.2,91.0,0.2273,0.69,0.0896,2,9,11,
93,05-01-2011,0,1,0,False,3,1,0.2,92.0,0.2576,0.64,0.0,0,6,6,
94,05-01-2011,0,1,1,False,3,1,0.16,93.0,0.197,0.74,0.0896,0,6,6,
95,05-01-2011,0,1,2,False,3,1,0.16,94.0,0.197,0.74,0.0896,0,2,2,
96,05-01-2011,0,1,4,False,3,1,0.24,95.0,0.2273,0.48,0.2239,0,2,2,
97,05-01-2011,0,1,5,False,3,1,0.22,96.0,0.2273,0.47,0.1642,0,3,3,
98,05-01-2011,0,1,6,False,3,1,0.2,97.0,0.197,0.47,0.2239,0,33,33,
99,05-01-2011,0,1,7,False,3,1,0.18,98.0,0.1818,0.43,0.194,1,87,88,
100,05-01-2011,0,1,8,False,3,1,0.2,99.0,0.1818,0.4,0.2985,3,192,195,
101,05-01-2011,0,1,9,False,3,1,0.22,100.0,0.197,0.37,0.3284,6,109,115,
102,05-01-2011,0,1,10,False,3,1,0.22,101.0,0.197,0.37,0.3284,4,53,57,
103,05-01-2011,0,1,11,False,3,1,0.26,102.0,0.2273,0.33,0.3284,12,34,46,
104,05-01-2011,0,1,12,False,3,1,0.26,103.0,0.2273,0.33,0.3284,5,74,79,
105,05-01-2011,0,1,13,False,3,1,0.28,104.0,0.2576,0.3,0.2985,6,65,71,
106,05-01-2011,0,1,14,False,3,1,0.3,105.0,0.2879,0.28,0.194,10,52,62,
107,05-01-2011,0,1,15,False,3,1,0.3,106.0,0.2879,0.28,0.194,7,55,62,
108,05-01-2011,0,1,16,False,3,1,0.3,107.0,0.3182,0.28,0.0896,4,85,89,
109,05-01-2011,0,1,17,False,3,1,0.24,108.0,0.2273,0.38,0.194,4,186,190,
110,05-01-2011,0,1,18,False,3,1,0.24,109.0,0.2424,0.38,0.1343,3,166,169,
111,05-01-2011,0,1,19,False,3,1,0.24,110.0,0.2576,0.38,0.1045,5,127,132,
112,05-01-2011,0,1,20,False,3,1,0.22,111.0,0.2273,0.47,0.1642,7,82,89,
113,05-01-2011,0,1,21,False,3,1,0.2,112.0,0.197,0.51,0.194,3,40,43,
114,05-01-2011,0,1,22,False,3,1,0.18,113.0,0.197,0.55,0.1343,1,41,42,
115,05-01-2011,0,1,23,False,3,1,0.2,114.0,0.2576,0.47,0.0,1,18,19,
116,06-01-2011,0,1,0,False,4,1,0.18,115.0,0.2424,0.55,0.0,0,11,11,
117,06-01-2011,0,1,1,False,4,1,0.16,116.0,0.2273,0.64,0.0,0,4,4,
118,06-01-2011,0,1,2,False,4,1,0.16,117.0,0.2273,0.64,0.0,0,2,2,
119,06-01-2011,0,1,4,False,4,2,0.16,118.0,0.197,0.64,0.0896,0,1,1,
120,06-01-2011,0,1,5,False,4,2,0.14,119.0,0.1818,0.69,0.0896,0,4,4,
121,06-01-2011,0,1,6,False,4,2,0.14,120.0,0.1667,0.63,0.1045,0,36,36,
122,06-01-2011,0,1,7,False,4,2,0.16,121.0,0.2273,0.59,0.0,0,95,95,
123,06-01-2011,0,1,8,False,4,1,0.16,122.0,0.2273,0.59,0.0,3,216,219,
124,06-01-2011,0,1,9,False,4,2,0.18,123.0,0.2424,0.51,0.0,6,116,122,
125,06-01-2011,0,1,10,False,4,1,0.2,124.0,0.2576,0.47,0.0,3,42,45,
126,06-01-2011,0,1,11,False,4,1,0.22,125.0,0.2576,0.44,0.0896,2,57,59,
127,06-01-2011,0,1,12,False,4,1,0.26,126.0,0.2879,0.35,0.0,6,78,84,
128,06-01-2011,0,1,13,False,4,1,0.26,127.0,0.2727,0.35,0.1045,12,55,67,
129,06-01-2011,0,1,14,False,4,1,0.28,128.0,0.2727,0.36,0.1642,11,59,70,
130,06-01-2011,0,1,15,False,4,1,0.28,129.0,0.2727,0.36,0.0,8,54,62,
131,06-01-2011,0,1,16,False,4,1,0.26,130.0,0.2576,0.38,0.1642,12,74,86,
132,06-01-2011,0,1,17,False,4,1,0.22,131.0,0.2273,0.51,0.1642,9,163,172,
133,06-01-2011,0,1,18,False,4,1,0.22,132.0,0.2273,0.51,0.1343,5,158,163,
134,06-01-2011,0,1,19,False,4,1,0.22,133.0,0.2576,0.55,0.0896,3,109,112,
135,06-01-2011,0,1,20,False,4,1,0.2,134.0,0.2121,0.51,0.1642,3,66,69,
136,06-01-2011,0,1,21,False,4,2,0.22,135.0,0.2121,0.55,0.2239,0,48,48,
137,06-01-2011,0,1,22,False,4,2,0.22,136.0,0.2121,0.51,0.2836,1,51,52,
138,06-01-2011,0,1,23,False,4,2,0.2,137.0,0.197,0.59,0.194,4,19,23,
139,07-01-2011,0,1,0,False,5,2,0.2,138.0,0.197,0.64,0.194,4,13,17,
140,07-01-2011,0,1,1,False,5,2,0.2,139.0,0.197,0.69,0.2239,2,5,7,
141,07-01-2011,0,1,2,False,5,2,0.2,140.0,0.197,0.69,0.2239,0,1,1,
142,07-01-2011,0,1,4,False,5,2,0.2,141.0,0.2121,0.69,0.1343,0,1,1,
143,07-01-2011,0,1,5,False,5,3,0.22,142.0,0.2727,0.55,0.0,0,5,5,
144,07-01-2011,0,1,6,False,5,2,0.2,143.0,0.2576,0.69,0.0,8,26,34,
145,07-01-2011,0,1,7,False,5,1,0.2,144.0,0.2121,0.69,0.1343,8,76,84,
146,07-01-2011,0,1,8,False,5,1,0.2,145.0,0.197,0.51,0.2537,20,190,210,
147,07-01-2011,0,1,9,False,5,1,0.2,146.0,0.1818,0.47,0.2985,9,125,134,
148,07-01-2011,0,1,10,False,5,1,0.22,147.0,0.197,0.37,0.3284,16,47,63,
149,07-01-2011,0,1,11,False,5,2,0.2,148.0,0.197,0.4,0.2239,19,48,67,
150,07-01-2011,0,1,12,False,5,2,0.2,149.0,0.197,0.37,0.2537,9,50,59,
151,07-01-2011,0,1,13,False,5,2,0.2,150.0,0.1818,0.37,0.2836,9,64,73,
152,07-01-2011,0,1,14,False,5,2,0.2,151.0,0.197,0.4,0.2537,7,43,50,
153,07-01-2011,0,1,15,False,5,2,0.2,152.0,0.2121,0.37,0.1642,9,63,72,
154,07-01-2011,0,1,16,False,5,2,0.2,153.0,0.2121,0.37,0.1642,5,82,87,
155,07-01-2011,0,1,17,False,5,2,0.2,154.0,0.2576,0.37,0.0,9,178,187,
156,07-01-2011,0,1,18,False,5,1,0.2,155.0,0.2273,0.4,0.0896,7,116,123,
157,07-01-2011,0,1,19,False,5,1,0.16,156.0,0.197,0.55,0.0896,3,92,95,
158,07-01-2011,0,1,20,False,5,1,0.18,157.0,0.2121,0.47,0.1045,1,50,51,
159,07-01-2011,0,1,21,False,5,1,0.18,158.0,0.197,0.47,0.1343,0,39,39,
160,07-01-2011,0,1,22,False,5,2,0.18,159.0,0.197,0.43,0.1642,2,34,36,
161,07-01-2011,0,1,23,False,5,2,0.18,160.0,0.197,0.51,0.1642,1,14,15,
162,08-01-2011,0,1,0,False,6,2,0.18,161.0,0.197,0.51,0.1642,1,24,25,
163,08-01-2011,0,1,1,False,6,2,0.18,162.0,0.2121,0.55,0.0896,1,15,16,
164,08-01-2011,0,1,2,False,6,2,0.18,163.0,0.2424,0.55,0.0,3,13,16,
165,08-01-2011,0,1,3,False,6,3,0.18,164.0,0.197,0.55,0.1642,0,7,7,
166,08-01-2011,0,1,4,False,6,3,0.18,165.0,0.197,0.55,0.1642,0,1,1,
167,08-01-2011,0,1,5,False,6,2,0.16,166.0,0.1667,0.74,0.1642,0,5,5,
168,08-01-2011,0,1,6,False,6,2,0.16,167.0,0.1667,0.74,0.1642,0,2,2,
169,08-01-2011,0,1,7,False,6,2,0.16,168.0,0.1818,0.74,0.1045,1,8,9,
170,08-01-2011,0,1,8,False,6,3,0.16,169.0,0.1818,0.93,0.1045,0,15,15,
171,08-01-2011,0,1,9,False,6,3,0.16,170.0,0.1818,0.93,0.1045,0,20,20,
172,08-01-2011,0,1,10,False,6,2,0.18,171.0,0.197,0.8,0.1642,5,56,61,
173,08-01-2011,0,1,11,False,6,2,0.2,172.0,0.1818,0.69,0.3881,2,60,62,
174,08-01-2011,0,1,12,False,6,2,0.2,173.0,0.1818,0.59,0.3582,8,90,98,
175,08-01-2011,0,1,13,False,6,1,0.2,174.0,0.1818,0.44,0.3284,7,95,102,
176,08-01-2011,0,1,14,False,6,1,0.2,175.0,0.1667,0.32,0.4925,12,83,95,
177,08-01-2011,0,1,15,False,6,1,0.2,176.0,0.1667,0.32,0.4478,5,69,74,
178,08-01-2011,0,1,16,False,6,1,0.18,177.0,0.1364,0.29,0.4478,8,68,76,
179,08-01-2011,0,1,17,False,6,1,0.16,178.0,0.1212,0.37,0.5522,5,64,69,
180,08-01-2011,0,1,18,False,6,1,0.14,179.0,0.1212,0.39,0.2985,3,52,55,
181,08-01-2011,0,1,19,False,6,1,0.14,180.0,0.1212,0.36,0.2537,4,26,30,
182,08-01-2011,0,1,20,False,6,1,0.12,181.0,0.1212,0.36,0.2537,0,28,28,
183,08-01-2011,0,1,21,False,6,1,0.12,182.0,0.1061,0.39,0.3582,2,35,37,
184,08-01-2011,0,1,22,False,6,1,0.12,183.0,0.1061,0.36,0.3881,1,33,34,
185,08-01-2011,0,1,23,False,6,1,0.1,184.0,0.0606,0.39,0.4478,0,22,22,
186,09-01-2011,0,1,0,False,0,1,0.1,185.0,0.0758,0.42,0.3881,1,24,25,
187,09-01-2011,0,1,1,False,0,1,0.1,186.0,0.0606,0.42,0.4627,0,12,12,
188,09-01-2011,0,1,2,False,0,1,0.1,187.0,0.0606,0.46,0.4627,0,11,11,
189,09-01-2011,0,1,3,False,0,1,0.1,188.0,0.0758,0.46,0.4179,0,4,4,
190,09-01-2011,0,1,4,False,0,1,0.08,189.0,0.0909,0.53,0.194,0,1,1,
191,09-01-2011,0,1,5,False,0,1,0.08,190.0,0.0909,0.53,0.194,0,1,1,
192,09-01-2011,0,1,6,False,0,1,0.1,191.0,0.0909,0.49,0.2836,0,1,1,
193,09-01-2011,0,1,7,False,0,1,0.08,192.0,0.0909,0.53,0.194,1,5,6,
194,09-01-2011,0,1,8,False,0,1,0.1,193.0,0.0909,0.49,0.2836,0,10,10,
195,09-01-2011,0,1,9,False,0,1,0.12,194.0,0.0758,0.46,0.5224,0,19,19,
196,09-01-2011,0,1,10,False,0,1,0.14,195.0,0.1061,0.43,0.3881,0,49,49,
197,09-01-2011,0,1,11,False,0,1,0.16,196.0,0.1212,0.4,0.5224,2,47,49,
198,09-01-2011,0,1,12,False,0,1,0.18,197.0,0.1364,0.37,0.4478,4,79,83,
199,09-01-2011,0,1,13,False,0,1,0.2,198.0,0.1667,0.34,0.4478,6,69,75,
200,09-01-2011,0,1,14,False,0,1,0.22,199.0,0.1818,0.32,0.4627,8,64,72,
201,09-01-2011,0,1,15,False,0,1,0.22,200.0,0.197,0.35,0.3582,5,77,82,
202,09-01-2011,0,1,16,False,0,1,0.2,201.0,0.1667,0.34,0.4478,13,79,92,
203,09-01-2011,0,1,17,False,0,1,0.18,202.0,0.1515,0.37,0.3881,3,59,62,
204,09-01-2011,0,1,18,False,0,1,0.16,203.0,0.1364,0.4,0.3284,4,44,48,
205,09-01-2011,0,1,19,False,0,1,0.16,204.0,0.1364,0.43,0.3284,1,40,41,
206,09-01-2011,0,1,20,False,0,1,0.14,205.0,0.1212,0.46,0.2537,0,38,38,
207,09-01-2011,0,1,21,False,0,1,0.14,206.0,0.1061,0.46,0.4179,1,19,20,
208,09-01-2011,0,1,22,False,0,1,0.14,207.0,0.1212,0.46,0.2985,5,10,15,
209,09-01-2011,0,1,23,False,0,1,0.12,208.0,0.1364,0.5,0.194,0,6,6,
210,10-01-2011,0,1,0,False,1,1,0.12,209.0,0.1212,0.5,0.2836,2,3,5,
211,10-01-2011,0,1,1,False,1,1,0.12,210.0,0.1212,0.5,0.2836,1,0,1,
212,10-01-2011,0,1,2,False,1,1,0.12,211.0,0.1212,0.5,0.2239,0,3,3,
213,10-01-2011,0,1,3,False,1,1,0.12,212.0,0.1212,0.5,0.2239,0,1,1,
214,10-01-2011,0,1,4,False,1,1,0.1,213.0,0.1212,0.54,0.1343,1,2,3,
215,10-01-2011,0,1,5,False,1,1,0.1,214.0,0.1061,0.54,0.2537,0,3,3,
216,10-01-2011,0,1,6,False,1,1,0.12,215.0,0.1212,0.5,0.2836,0,31,31,
217,10-01-2011,0,1,7,False,1,1,0.12,216.0,0.1212,0.5,0.2239,2,75,77,
218,10-01-2011,0,1,8,False,1,2,0.12,217.0,0.1212,0.5,0.2836,4,184,188,
219,10-01-2011,0,1,9,False,1,2,0.14,218.0,0.1212,0.5,0.2537,2,92,94,
220,10-01-2011,0,1,10,False,1,2,0.14,219.0,0.1212,0.5,0.2985,0,31,31,
221,10-01-2011,0,1,11,False,1,2,0.16,220.0,0.1364,0.47,0.2836,2,28,30,
222,10-01-2011,0,1,12,False,1,2,0.2,221.0,0.1818,0.4,0.2836,5,47,52,
223,10-01-2011,0,1,13,False,1,2,0.2,222.0,0.1818,0.4,0.2836,4,50,54,
224,10-01-2011,0,1,14,False,1,2,0.2,223.0,0.197,0.4,0.2239,0,47,47,
225,10-01-2011,0,1,15,False,1,2,0.2,224.0,0.197,0.4,0.2239,2,43,45,
226,10-01-2011,0,1,16,False,1,1,0.2,225.0,0.2121,0.4,0.1343,4,70,74,
227,10-01-2011,0,1,17,False,1,1,0.2,226.0,0.2273,0.4,0.1045,4,174,178,
228,10-01-2011,0,1,18,False,1,1,0.2,227.0,0.197,0.4,0.2239,1,154,155,
229,10-01-2011,0,1,19,False,1,1,0.16,228.0,0.1667,0.47,0.1642,3,92,95,
230,10-01-2011,0,1,20,False,1,1,0.16,229.0,0.1667,0.5,0.1642,1,73,74,
231,10-01-2011,0,1,21,False,1,1,0.14,230.0,0.1364,0.59,0.194,1,37,38,
232,10-01-2011,0,1,22,False,1,1,0.14,231.0,0.1515,0.59,0.1642,2,22,24,
233,10-01-2011,0,1,23,False,1,1,0.14,232.0,0.1515,0.59,0.1642,0,18,18,
234,11-01-2011,0,1,0,False,2,1,0.14,233.0,0.1667,0.59,0.1045,2,10,12,
235,11-01-2011,0,1,1,False,2,1,0.14,234.0,0.1515,0.59,0.1642,0,3,3,
236,11-01-2011,0,1,2,False,2,2,0.16,235.0,0.1515,0.55,0.194,0,3,3,
237,11-01-2011,0,1,5,False,2,2,0.16,236.0,0.1818,0.55,0.1343,0,6,6,
238,11-01-2011,0,1,6,False,2,2,0.16,237.0,0.1818,0.55,0.1343,0,27,27,
239,11-01-2011,0,1,7,False,2,2,0.16,238.0,0.2273,0.55,0.0,2,97,99,
240,11-01-2011,0,1,8,False,2,2,0.18,239.0,0.2121,0.51,0.0896,3,214,217,
241,11-01-2011,0,1,9,False,2,2,0.18,240.0,0.197,0.51,0.1642,3,127,130,
242,11-01-2011,0,1,10,False,2,2,0.2,241.0,0.2121,0.51,0.1642,3,51,54,
243,11-01-2011,0,1,11,False,2,2,0.2,242.0,0.2121,0.47,0.1343,4,31,35,
244,11-01-2011,0,1,12,False,2,2,0.2,243.0,0.2273,0.51,0.1045,2,55,57,
245,11-01-2011,0,1,13,False,2,2,0.2,244.0,0.2273,0.59,0.0896,6,46,52,
246,11-01-2011,0,1,14,False,2,2,0.2,245.0,0.2273,0.59,0.0896,3,60,63,
247,11-01-2011,0,1,15,False,2,2,0.16,246.0,0.197,0.8,0.0896,2,45,47,
248,11-01-2011,0,1,16,False,2,2,0.16,247.0,0.1515,0.86,0.2239,4,72,76,
249,11-01-2011,0,1,17,False,2,2,0.16,248.0,0.1515,0.86,0.2239,6,130,136,
250,11-01-2011,0,1,18,False,2,3,0.16,249.0,0.1818,0.93,0.1045,1,94,95,
251,11-01-2011,0,1,19,False,2,3,0.16,250.0,0.2273,0.93,0.0,0,51,51,
252,11-01-2011,0,1,20,False,2,3,0.16,251.0,0.1515,0.93,0.194,0,32,32,
253,11-01-2011,0,1,21,False,2,3,0.16,252.0,0.197,0.86,0.0896,0,20,20,
254,11-01-2011,0,1,22,False,2,3,0.16,253.0,0.1818,0.93,0.1045,1,28,29,
255,11-01-2011,0,1,23,False,2,3,0.16,254.0,0.197,0.93,0.0896,1,18,19,
256,12-01-2011,0,1,0,False,3,2,0.16,255.0,0.197,0.86,0.0896,0,7,7,
257,12-01-2011,0,1,1,False,3,2,0.16,256.0,0.1818,0.86,0.1045,0,6,6,
258,12-01-2011,0,1,2,False,3,1,0.14,257.0,0.1515,0.86,0.1343,0,1,1,
259,12-01-2011,0,1,5,False,3,1,0.14,258.0,0.1515,0.86,0.1642,0,5,5,
260,12-01-2011,0,1,6,False,3,1,0.12,259.0,0.1515,0.93,0.1343,0,16,16,
261,12-01-2011,0,1,7,False,3,1,0.14,260.0,0.1515,0.69,0.1343,0,54,54,
262,12-01-2011,0,1,8,False,3,1,0.16,261.0,0.1667,0.59,0.1642,3,125,128,
263,12-01-2011,0,1,9,False,3,1,0.16,262.0,0.1364,0.59,0.3284,3,78,81,
264,12-01-2011,0,1,10,False,3,1,0.18,263.0,0.1818,0.55,0.2239,0,39,39,
265,12-01-2011,0,1,11,False,3,1,0.2,264.0,0.1818,0.51,0.3881,3,32,35,
266,12-01-2011,0,1,12,False,3,1,0.2,265.0,0.1515,0.47,0.5821,3,52,55,
267,12-01-2011,0,1,13,False,3,1,0.22,266.0,0.197,0.44,0.3582,0,49,49,
268,12-01-2011,0,1,14,False,3,1,0.2,267.0,0.1818,0.47,0.3284,0,44,44,
269,12-01-2011,0,1,15,False,3,1,0.2,268.0,0.1667,0.47,0.4179,1,48,49,
270,12-01-2011,0,1,16,False,3,1,0.22,269.0,0.197,0.44,0.3284,5,63,68,
271,12-01-2011,0,1,17,False,3,1,0.2,270.0,0.1818,0.47,0.3582,0,139,139,
272,12-01-2011,0,1,18,False,3,1,0.2,271.0,0.1515,0.47,0.5224,2,135,137,
273,12-01-2011,0,1,19,False,3,1,0.18,272.0,0.1515,0.47,0.4179,1,82,83,
274,12-01-2011,0,1,20,False,3,1,0.16,273.0,0.1364,0.5,0.3284,2,54,56,
275,12-01-2011,0,1,21,False,3,1,0.16,274.0,0.1364,0.55,0.3284,0,57,57,
276,12-01-2011,0,1,22,False,3,1,0.16,275.0,0.1212,0.55,0.4478,1,32,33,
277,12-01-2011,0,1,23,False,3,1,0.14,276.0,0.1061,0.59,0.4179,1,19,20,
278,13-01-2011,0,1,0,False,4,1,0.14,277.0,0.1212,0.59,0.2836,1,6,7,
279,13-01-2011,0,1,1,False,4,1,0.14,278.0,0.1212,0.5,0.2836,0,2,2,
280,13-01-2011,0,1,2,False,4,1,0.14,279.0,0.1212,0.5,0.3582,0,2,2,
